Unnamed: 0,userinputid,inputvalue,assessmentvalue,repetitions,inputtimestamp,presentationtimestamp,startplaytimestamp,stopplaytimestamp,comment,status,itemid,url,label,options,expected,userid,initials,email,sex,accent,accentcity,firstlanguage,spokendialect,hearing,profession,education,parentslanguage,sessionid,participantage,environment,equipment,device,browser,startdate,enddate,residence,campaign,sectionid,position,ordering,active,scriptid,experiment,projectname,adminid,musicalinstrument,handedness,speechrate,ipaddress,foreignlanguages,fatherscity,motherscity,birthcity,proficiency,frequency,birthyear,birthmonth,hostname,username
10,2288106,Wut,,1,1588089288899,1588089287042,1588089287495,1588089287888,,done,2278309,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_W_tempo.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,49,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
53,2288149,Wut,,1,1588089435341,1588089433229,1588089433810,1588089434648,,done,2278275,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_W_tempo.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,73,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
66,2288162,Wut,,1,1588089474048,1588089472319,1588089472835,1588089473410,,done,2278286,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_W_tempo.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,10,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
118,2288196,Wut,,1,1588089570559,1588089568941,1588089569387,1588089570158,,done,2278292,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_W_tempo.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,52,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
122,2288200,Wut,,1,1588089580056,1588089577881,1588089578795,1588089579680,,done,2278318,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_W_tempo.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,57,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
136,2288214,Wut,,1,1588089617954,1588089616361,1588089616640,1588089617641,,done,2278298,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_W_tempo.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,48,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
142,2288220,Wut,,1,1588089633987,1588089632380,1588089632710,1588089633083,,done,2278308,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_W_tempo.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,47,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
146,2288224,Wut,,1,1588089643812,1588089640828,1588089641231,1588089641943,,done,2278321,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_W_tempo.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2288084,,,F,undefined,undefined,Deutsch,undefined,normal,undefined,undefined,,2288085,20,home,speakers,desktop,"webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36",28.04.2020,28.04.2020,Deutschland,,2278119,85,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,2,,,"Englisch, Französisch",,,,,,0,0,,
156,2287967,Wut,,1,1588088277352,1588088274597,1588088275698,1588088276679,,done,2278292,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_W_tempo.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2287896,,,F,undefined,undefined,Deutsch ,undefined,normal,undefined,undefined,,2287897,23,home,speakers,smartphone,"webkit: true; version: 605.1.15; safari: true; ; Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1",28.04.2020,28.04.2020,Deutschland,,2278119,52,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,1,,,Englisch,,,,,,0,0,,
165,2287976,Wut,,1,1588088314605,1588088311811,1588088312651,1588088313627,,done,2278321,https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_W_tempo.wav,,"{""type"" : ""BUTTONS"", ""label"" : ""Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus."", ""values"" : [""Ekel"", ""Freude"", ""Trauer"", ""neutral"", ""Wut"", ""Angst"", ""Klatschen""]}",,2287896,,,F,undefined,undefined,Deutsch ,undefined,normal,undefined,undefined,,2287897,23,home,speakers,smartphone,"webkit: true; version: 605.1.15; safari: true; ; Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1",28.04.2020,28.04.2020,Deutschland,,2278119,85,random,True,WOEMODE0,Wortwörtlich Emotion (DE),Studentenprojekt,2278114,,1,,,Englisch,,,,,,0,0,,
