userinputid	inputvalue	assessmentvalue	repetitions	inputtimestamp	presentationtimestamp	startplaytimestamp	stopplaytimestamp	comment	status	itemid	url	label	options	expected	userid	initials	email	sex	accent	accentcity	firstlanguage	spokendialect	hearing	profession	education	parentslanguage	sessionid	participantage	environment	equipment	device	browser	startdate	enddate	residence	campaign	sectionid	position	ordering	active	scriptid	experiment	projectname	adminid	musicalinstrument	handedness	speechrate	ipaddress	foreignlanguages	fatherscity	motherscity	birthcity	proficiency	frequency	birthyear	birthmonth	hostname	username
2290015	որոշ չափով հեշտ հարմարվող/հետաքրքրասեր		0	1588175442891	1588175404557	0	0	null	done	2287443	null	null	{"type" : "SEMANTICS", "label" : "Ինչպե՞ս եք վերաբերվում փոփոխություններին։", "levels" : 5, "values" : [["զգուշավոր/փոփոխամերժ", "հեշտ հարմարվող/հետաքրքրասեր", "openness"]]}	null	2290013	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290014	28	home	speakers	desktop	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36	29.04.2020	29.04.2020	Հայաստանի Հանրապետություն		2287308	2	sequential	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	ռուսերեն, անգլերեն	null	null	null	null	null	0	0	null	null
2290016	պարտաճանաչ/կազմակերպված		0	1588175457035	1588175443142	0	0	null	done	2287441	null	null	{"type" : "SEMANTICS", "label" : "Պարտականությունները կատարելիս հիմնականում միտված եք լինելու․․․", "levels" : 5, "values" : [["անհոգ/ոչ հետևողական", "պարտաճանաչ/կազմակերպված", "conscientiousness"]]}	null	2290013	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290014	28	home	speakers	desktop	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36	29.04.2020	29.04.2020	Հայաստանի Հանրապետություն		2287308	3	sequential	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	ռուսերեն, անգլերեն	null	null	null	null	null	0	0	null	null
2290017	ինքնամփոփ/զուսպ		0	1588175465491	1588175457287	0	0	null	done	2287440	null	null	{"type" : "SEMANTICS", "label" : "Համարում եք Ձեզ ավելի շփվո՞ղ, թե՞ ինքնամփոփ մարդ։", "levels" : 5, "values" : [["ինքնամփոփ/զուսպ", "շփվող/աշխույժ", "extraversion"]]}	null	2290013	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290014	28	home	speakers	desktop	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36	29.04.2020	29.04.2020	Հայաստանի Հանրապետություն		2287308	4	sequential	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	ռուսերեն, անգլերեն	null	null	null	null	null	0	0	null	null
2290053	չեզոք		3	1588178646575	1588178631616	1588178632825	1588178640332	null	done	2287456	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_T_tempo.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	192	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290115	ուրախություն		1	1588179010604	1588178995909	1588179008233	1588179009204	null	done	2287543	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_F.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	55	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290116	վախ		2	1588179016685	1588179010746	1588179011778	1588179015925	null	done	2287449	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_T_pitch.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	81	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290117	վախ		1	1588179198532	1588179016833	1588179195179	1588179196518	null	done	2287511	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_A.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	54	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290118	չեզոք		1	1588179203094	1588179199484	1588179200736	1588179201398	null	done	2287448	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_F_pitch.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	130	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290119	չեզոք		2	1588179208282	1588179203251	1588179204364	1588179207778	null	done	2287519	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_s.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	19	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
2290120	վախ		1	1588179211544	1588179208452	1588179209333	1588179210138	null	done	2287586	https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_F_pitch.wav	null	{"type" : "BUTTONS", "label" : "Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։", "values" : ["զզվանք", "ուրախություն", "տխրություն", "չեզոք", "զայրույթ", "վախ", "ծափահարություն"]}	null	2290018	null	NA	F	undefined	undefined	հայերեն	undefined	normal	undefined	undefined	null	2290019	27	home	headphones	notebook	webkit: true; version: 537.36; safari: true; ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36	29.04.2020	29.04.2020	Հայաստան		2287310	173	random	true	WOEMOAM0	Wortwörtlich Emotion (AM)	Studentenprojekt	2278114	null	1	null	null	անգլերեն	null	null	null	null	null	0	0	null	null
