inputvalues_am	inputvalues_de
որոշ չափով հեշտ հարմարվող/հետաքրքրասեր	etwas erfinderisch/neugierig
պարտաճանաչ/կազմակերպված	zuverlässig/organisiert
ինքնամփոփ/զուսպ	zurückhaltend/reserviert
ուրախություն	Freude
չեզոք	neutral
զայրույթ	Wut
վախ	Angst
զզվանք	Ekel
ծափահարություն	Klatschen
տխրություն	Trauer
որոշ չափով զգուշավոր/փոփոխամերժ	etwas vorsichtig/konservativ
որոշ չափով զգացմունքային/բռնկվող	etwas emotional/unruhig
...մեծամասամբ բնական էր	...größtenteils natürlich
որոշ չափով հավասարակշռված/հանգիստ	etwas selbstsicher/ruhig
որոշ չափով պարտաճանաչ/կազմակերպված	etwas zuverlässig/organisiert
շփվող/աշխույժ	gesellig/aktiv
որոշ չափով մրցակցող/հակաճառող	etwas wettbewerbsorientiert/antagonistisch
զգացմունքային/բռնկվող	emotional/unruhig
որոշ չափով ինքնամփոփ/զուսպ	etwas zurückhaltend/reserviert
որոշ չափով զիջող/ապրումակցող	etwas kooperativ/mitfühlend
ձեռնպահ	neutral
հեշտ հարմարվող/հետաքրքրասեր	erfinderisch/neugierig
որոշ չափով շփվող/աշխույժ	etwas gesellig/aktiv
...բնական էր	...natürlich
զիջող/ապրումակցող	kooperativ/mitfühlend
...մեծամասամբ անբնական էր	...größtenteils unnatürlich
հավասարակշռված/հանգիստ	selbstsicher/ruhig
մրցակցող/հակաճառող	wettbewerbsorientiert/antagonistisch
զգուշավոր/փոփոխամերժ	vorsichtig/konservativ
որոշ չափով անհոգ/ոչ հետևողական	etwas unbekümmert/nachlässig
անհոգ/ոչ հետևողական	unbekümmert/nachlässig
